"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"SH","12","","","","9/5/2018 4:13:53 PM","9/5/2018 4:14:47 PM","","","3893_BD5-S-5.3","G:\63893\Building\3893_BD5.dwg","S-5.3","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:14:48 PM","9/5/2018 4:15:40 PM","","","3893_BD5-S-5.4","G:\63893\Building\3893_BD5.dwg","S-5.4","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:15:40 PM","9/5/2018 4:15:47 PM","","","3893_SN-2-SN-2 (30x42)","G:\63893\DET\3893_SN-2.dwg","SN-2 (30x42)","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:15:47 PM","9/5/2018 4:15:56 PM","","","3893_SN-3-SN-3 (30x42)","G:\63893\DET\3893_SN-3.dwg","SN-3 (30x42)","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:15:56 PM","9/5/2018 4:16:00 PM","","","3893_SD-1-SD-1 (30x42)","G:\63893\DET\3893_SD-1.dwg","SD-1 (30x42)","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:16:00 PM","9/5/2018 4:16:09 PM","","","3893_SD-2-SD-2","G:\63893\DET\3893_SD-2.dwg","SD-2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:16:09 PM","9/5/2018 4:16:17 PM","","","3893_SD-3-SD-3 (30x42)","G:\63893\DET\3893_SD-3.dwg","SD-3 (30x42)","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:16:17 PM","9/5/2018 4:16:22 PM","","","3893_SD-4-SD-4 (30x42)","G:\63893\DET\3893_SD-4.dwg","SD-4 (30x42)","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","12","","","","","9/5/2018 4:16:22 PM","","","","","","","","","","","","Plotted"
"JS","13","","","","9/5/2018 4:49:48 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
